Input Size,Run Time (ns)
0,1977
1,2192
2,3008
3,2164
4,2245
5,1348
6,1300
7,1338
8,1332
9,3147
10,1385
11,1340
12,1320
13,1102
14,1108
15,957
16,1031
17,1099
18,1038
19,1304
20,1224
21,1177
22,1914
23,2872
24,3219
Input Size,Run Time (ns)
0,2469
1,1725
2,1178
3,1310
4,1336
5,1237
6,1343
7,1333
8,1305
9,1246
10,1426
11,1367
12,1357
13,1644
14,1510
15,1708
16,1279
17,1762
18,1533
19,1676
20,1526
21,1528
22,3319
23,3797
24,4135
