Input Size,Run Time (ns)
0,913
1,976
2,1476
3,2576
4,1963
5,2402
6,4280
7,4548
8,4503
9,4835
10,5351
11,5669
12,5951
13,5522
14,5434
15,6547
16,7222
17,9481
18,13016
19,18263
20,27373
21,41906
22,67131
23,106660
24,171005
Input Size,Run Time (ns)
0,960
1,795
2,1191
3,1367
4,1640
5,2172
6,3788
7,4299
8,4539
9,4742
10,5163
11,6051
12,5946
13,5389
14,5467
15,5959
16,7472
17,9368
18,13795
19,18792
20,28142
21,42791
22,67501
23,106843
24,170258
